parameter_name,Eye
analysis_id,d3739w389423662
gene_symbol,Fgb
gene_accession_id,MGI:99501
pvalue,0.9221221
mouse_life_stage,Early adult
parameter_id,M-G-P_013_001_001
mouse_strain,C57BL
