mouse_strain,129SV
gene_accession_id,MGI:2684980
pvalue,0.5145048
parameter_id,IMPC_GEL_032_001
gene_symbol,Mms22l
analysis_id,wb37l44u9je7446
mouse_life_stage,Early adult
parameter_name,Embryo Size
