gene_symbol,Tbl1xr1
analysis_id,6q3jzt5i74888x2
parameter_name,Lower teeth appearance
pvalue,0.3318464
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2441730
parameter_id,IMPC_CSD_070_001
