parameter_name,B cell number
mouse_strain,B6J
analysis_id,091797z0yya3a44
pvalue,0.5452832
parameter_id,MGP_PBI_034_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1346344
gene_symbol,Nr0b2
