gene_symbol,Nucks1
parameter_id,MGP_IMM_020_001
pvalue,0.2331234
gene_accession_id,MGI:1934811
analysis_id,5gn8bw43a56y0zc
parameter_name,Effector gd T cells - % of gd T cells
mouse_strain,C57BL
mouse_life_stage,Early adult
