analysis_id,14y6xz9jwlsg7h9
pvalue,0.8062187
mouse_strain,B6J
gene_symbol,Nr0b2
gene_accession_id,MGI:1346344
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_059_001
parameter_name,Mean right eye lens density
