analysis_id,i7j9cf9gm756722
mouse_strain,C57BL
parameter_id,ESLIM_011_001_702
gene_accession_id,MGI:1914561
pvalue,0.6549888
mouse_life_stage,E18.5
gene_symbol,Nanp
parameter_name,Prepulse inhibition - PP2
