gene_symbol,Mecom
mouse_strain,C57BL
gene_accession_id,MGI:95457
analysis_id,3cl8a9982939840
parameter_id,MGP_IMM_026_001
pvalue,0.6260097
mouse_life_stage,E12.5
parameter_name,Effector CD4- NKT cells - % of CD4- NKT cells
