analysis_id,p30s49mql4rw633
mouse_life_stage,Late adult
parameter_id,JAX_OFD_013_001
pvalue,0.2913858
parameter_name,Periphery average speed
gene_accession_id,MGI:1345282
gene_symbol,Slc30a4
mouse_strain,C57BL
