parameter_name,B Cells
gene_accession_id,MGI:1913576
parameter_id,IMPC_IMM_063_001
mouse_life_stage,Early adult
pvalue,0.2635413
gene_symbol,Dnajc5b
analysis_id,6zqg6m012425500
mouse_strain,C57BL
