analysis_id,t8t40cg9r5m51p0
pvalue,0.7059084
mouse_life_stage,Early adult
parameter_name,Center permanence time
parameter_id,JAX_OFD_016_001
gene_accession_id,MGI:1339969
mouse_strain,C57BL
gene_symbol,Gja10
