parameter_name,Haemoglobin
gene_accession_id,MGI:104848
mouse_life_stage,Early adult
gene_symbol,Inpp1
parameter_id,ESLIM_016_001_003
analysis_id,ylq5z942k684k53
pvalue,0.2346666
mouse_strain,129SV
