analysis_id,220f25818c224vt
parameter_name,DN CD44+CD62L- NKT cells
mouse_strain,C57BL
pvalue,0.6691494
parameter_id,IMPC_IMM_046_001
gene_symbol,Zcchc2
gene_accession_id,MGI:2444114
mouse_life_stage,Early adult
