analysis_id,55f5bxig6f73j83
gene_symbol,Zyg11b
mouse_life_stage,Early adult
gene_accession_id,MGI:2685277
parameter_id,MGP_MLN_031_001
pvalue,0.6197804
parameter_name,Total NK cells - % of CD45+
mouse_strain,C57BL
