gene_symbol,Ntmt2
mouse_strain,C57BL
pvalue,0.6622347
analysis_id,m7v9k5913t415o8
gene_accession_id,MGI:2685053
parameter_id,IMPC_OFD_012_001
parameter_name,Periphery permanence time
mouse_life_stage,Early adult
