parameter_id,IMPC_GRS_009_001
analysis_id,71p1owg1m651fna
mouse_strain,C57BL
pvalue,0.4902069
mouse_life_stage,Early adult
gene_accession_id,MGI:107566
parameter_name,Forelimb and hindlimb grip strength measurement mean
gene_symbol,Kifap3
