parameter_name,Respiration Rate
gene_accession_id,MGI:1914515
pvalue,0.4821506
parameter_id,IMPC_ECH_018_001
gene_symbol,Slc39a10
mouse_life_stage,E9.5
analysis_id,8sv803f6148a2tt
mouse_strain,C57BL
