parameter_name,Radius
analysis_id,3eu205j69q4v3lx
mouse_life_stage,Early adult
gene_accession_id,MGI:1345282
gene_symbol,Slc30a4
pvalue,0.05749907
parameter_id,IMPC_XRY_022_001
mouse_strain,C57BL
