parameter_id,MGP_MLN_075_001
gene_symbol,Snap23
gene_accession_id,MGI:109356
analysis_id,0wb9jta8u81yz1l
pvalue,0.6499719
parameter_name,Resting CD8+ T cells - % of CD45+
mouse_life_stage,Late adult
mouse_strain,C57BL
