parameter_id,M-G-P_005_001_004
mouse_life_stage,Early adult
gene_accession_id,MGI:2685053
mouse_strain,C57BL
gene_symbol,Ntmt2
pvalue,0.6237066
analysis_id,y079w74lme4c9d0
parameter_name,Bone Mineral Density (excluding skull)
