parameter_name,Retina (combined)
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.468679
analysis_id,mh3z85362gs9p14
gene_symbol,Bmp7
parameter_id,JAXLA_EYE_092_001
gene_accession_id,MGI:103302
