analysis_id,33lcs4vef9me921
pvalue,0.2616985
gene_accession_id,MGI:2651854
parameter_id,IMPC_IMM_067_001
mouse_strain,C57BL
gene_symbol,Atg4c
parameter_name,Follicular B Cells (CD21/35+)
mouse_life_stage,Early adult
