parameter_name,Neural tube morphology
analysis_id,a9292d26y3241w5
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_060_001
pvalue,0.6510544
mouse_strain,C57BL
gene_accession_id,MGI:109585
gene_symbol,Pld1
