parameter_name,Hindpaw - size
parameter_id,JAXLA_CSD_041_002
pvalue,0.7694149
gene_symbol,Fgb
gene_accession_id,MGI:99501
mouse_strain,C57BL
analysis_id,u2vr18p20u59406
mouse_life_stage,E15.5
