parameter_name,Distance travelled - total
mouse_life_stage,Early adult
gene_symbol,Rap2b
analysis_id,pld40xivzp4b7mq
mouse_strain,C57BL
gene_accession_id,MGI:1921262
pvalue,0.7103408
parameter_id,IMPC_OFD_020_001
