parameter_name,Heart looping
parameter_id,IMPC_GEL_057_001
mouse_strain,C57BL
gene_symbol,Hnf4a
pvalue,0.4524206
mouse_life_stage,Late adult
analysis_id,del9m03u7i6x33e
gene_accession_id,MGI:109128
