gene_symbol,Atf3
parameter_name,Number of rears - total
pvalue,0.9915704
analysis_id,adr52604l48n9gs
parameter_id,JAX_OFD_021_001
gene_accession_id,MGI:109384
mouse_life_stage,Early adult
mouse_strain,C57BL
