gene_symbol,Zcchc2
parameter_id,IMPC_CBC_014_001
gene_accession_id,MGI:2444114
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,7xg1i5qu166r794
pvalue,0.3056996
parameter_name,Alkaline phosphatase
