analysis_id,v49epc22y6v852p
gene_symbol,Ola1
gene_accession_id,MGI:1914309
parameter_id,IMPC_GEP_076_001
pvalue,0.2882583
mouse_strain,C57BL
parameter_name,Cleft palate
mouse_life_stage,E18.5
