gene_symbol,Kifap3
parameter_id,JAXLA_CSD_021_001
parameter_name,Hindlimbs - shape
analysis_id,1sr3cjofrqv8v0c
gene_accession_id,MGI:107566
pvalue,0.3789396
mouse_life_stage,Early adult
mouse_strain,C57BL
