parameter_id,MGP_PBI_019_001
analysis_id,5j2y3t349bi1e9n
gene_accession_id,MGI:88174
pvalue,0.9075112
gene_symbol,Bmi1
parameter_name,Neutrophil percentage
mouse_strain,C57BL
mouse_life_stage,Early adult
