parameter_name,Body Weight
pvalue,0.8103349
parameter_id,M-G-P_012_001_005
mouse_life_stage,E12.5
analysis_id,r85e1ytw4954924
gene_accession_id,MGI:95835
gene_symbol,Hspa5
mouse_strain,C50BL
