analysis_id,x14n0401g63tx36
pvalue,0.8463519
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1888742
parameter_name,Distance travelled - total
gene_symbol,Extl1
parameter_id,JAX_OFD_020_001
