analysis_id,xa38622317f55u5
mouse_life_stage,Early adult
pvalue,0.6080415
gene_accession_id,MGI:1925049
parameter_name,Effector Treg cells - % of Treg
mouse_strain,C57BL
parameter_id,MGP_MLN_009_001
gene_symbol,Sla2
