parameter_name,center - distance
mouse_life_stage,Early adult
parameter_id,M-G-P_007_001_010
analysis_id,3h02z5uynva8nmc
pvalue,0.7992833
gene_accession_id,MGI:1888742
gene_symbol,Extl1
mouse_strain,C57BL
