gene_symbol,Sema6c
mouse_life_stage,Early adult
gene_accession_id,MGI:1338032
mouse_strain,C57BL
parameter_name,Iron
pvalue,0.1905527
analysis_id,im6bi5u04a97e0a
parameter_id,IMPC_CBC_011_001
