gene_symbol,Sdcbp2
gene_accession_id,MGI:2385156
parameter_name,PP1 startle magnitude
mouse_strain,C57BL
pvalue,0.351742
parameter_id,ESLIM_011_001_002
analysis_id,yr67w5551zv9qsf
mouse_life_stage,Early adult
