gene_symbol,Traf6
parameter_name,Alkaline phosphatase
pvalue,0.426959
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_014_001
gene_accession_id,MGI:108072
mouse_strain,C57BL
analysis_id,02x85arg2xp070d
