gene_symbol,Ivd
mouse_life_stage,Early adult
analysis_id,54ut03s62e26w8y
parameter_id,MGP_PBI_009_001
pvalue,0.8428767
mouse_strain,C57BL
gene_accession_id,MGI:1929242
parameter_name,CD4+ CD44+ CD62L- alpha beta effector T cell percentage
