analysis_id,3wl0w64p8h999ql
parameter_id,IMPC_OFD_016_001
parameter_name,Center permanence time
mouse_strain,C57BL
pvalue,0.4156578
mouse_life_stage,E18.5
gene_accession_id,MGI:2685277
gene_symbol,Zyg11b
