analysis_id,x32642bvb91y26b
parameter_name,% Pre-pulse inhibition - PPI4
mouse_strain,129SV
parameter_id,IMPC_ACS_036_001
gene_accession_id,MGI:104848
gene_symbol,Inpp1
pvalue,0.3050493
mouse_life_stage,Early adult
