gene_symbol,Kcng1
mouse_strain,C57BL
parameter_id,MGP_IMM_071_001
mouse_life_stage,Early adult
pvalue,0.6770093
gene_accession_id,MGI:3616086
analysis_id,0ntit03m841ipoq
parameter_name,Total CD4+ T cells - % of CD45+
