analysis_id,9pjexxzkdojm3s3
parameter_id,MGP_MLN_093_001
parameter_name,KLRG1+ NK cells - % of CD45+
gene_accession_id,MGI:2684980
pvalue,0.2243802
gene_symbol,Mms22l
mouse_life_stage,Early adult
mouse_strain,C57BL
