analysis_id,65iwxkh44438rvl
gene_symbol,Ift74
mouse_life_stage,Early adult
pvalue,0.2650039
parameter_name,White blood cell-count
mouse_strain,C57BL
parameter_id,M-G-P_016_001_001
gene_accession_id,MGI:1914944
