analysis_id,8v9r53f4mq7t7r6
parameter_name,Distance travelled - total
gene_symbol,Arpc2
gene_accession_id,MGI:1923959
pvalue,0.6241414
mouse_life_stage,Early adult
parameter_id,JAXLA_OFD_020_001
mouse_strain,C57BL
