analysis_id,s6n4ccu631xm1e1
parameter_id,IMPC_EYE_059_001
gene_symbol,Cldn19
pvalue,0.3567399
parameter_name,Mean right eye lens density
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:3033992
