gene_symbol,Pglyrp3
pvalue,0.1182732
analysis_id,e5es4q2cy2du295
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2685266
parameter_name,Total ab T cells - % of CD45+
parameter_id,MGP_IMM_070_001
