gene_symbol,Pum1
parameter_id,IMPC_FEA_107_001
mouse_strain,C57BL
gene_accession_id,MGI:1931749
analysis_id,qus6no7w85r1f5e
pvalue,0.5916472
parameter_name,Difference in Conditioning Post-shock and Conditioning Baseline % Freezing
mouse_life_stage,Early adult
