parameter_name,Neutrophil differential count
analysis_id,4967265806rb0bu
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_029_001
gene_accession_id,MGI:1927379
pvalue,0.3191594
gene_symbol,Rhbg
mouse_strain,C57BL
