gene_symbol,Alkbh3
parameter_name,Dark side time spent
gene_accession_id,MGI:1916363
mouse_life_stage,Early adult
pvalue,0.8188835
parameter_id,JAX_LDT_004_001
analysis_id,8246x997h6yrwo4
mouse_strain,C57BL
