parameter_id,IMPC_DXA_003_001
parameter_name,Lean mass
gene_accession_id,MGI:1920638
pvalue,0.7760095
mouse_strain,129SV
gene_symbol,Bpifa3
mouse_life_stage,Early adult
analysis_id,pn9034s95eg68k9
