analysis_id,f097ha0ytz78342
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Etfdh
pvalue,0.7562832
parameter_id,IMPC_CSD_008_001
parameter_name,Coat - color pattern - back
gene_accession_id,MGI:106100
