analysis_id,9p0gmp9sra97h02
parameter_name,NK Subsets (Q2)
gene_symbol,Inpp1
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:104848
pvalue,0.137469
parameter_id,IMPC_IMM_055_001
