parameter_name,End-Systolic Diameter
gene_accession_id,MGI:2685277
analysis_id,2ug6x1u51kahmjo
mouse_strain,C56BL
parameter_id,IMPC_ECH_001_001
mouse_life_stage,Early adult
gene_symbol,Zyg11b
pvalue,0.4508607
