parameter_name,Aggression
parameter_id,IMPC_CSD_079_001
pvalue,0.6008936
mouse_strain,C57BL
gene_symbol,Zcchc2
mouse_life_stage,Early adult
gene_accession_id,MGI:2444114
analysis_id,w3180794m0w033u
