parameter_name,Eosinophil number
mouse_life_stage,Late adult
mouse_strain,C57BL
parameter_id,MGP_PBI_040_001
gene_accession_id,MGI:2446274
gene_symbol,Frmpd1
pvalue,0.8571269
analysis_id,7xj0w1245mwuo38
