parameter_name,Right total retinal thickness
analysis_id,7qf01j18b9dqi9q
gene_symbol,Rab17
pvalue,0.9153727
gene_accession_id,MGI:104640
parameter_id,IMPC_EYE_062_001
mouse_strain,C57BL
mouse_life_stage,Early adult
