gene_symbol,Opn3
mouse_strain,C57BL
analysis_id,7d4t76274570s9p
pvalue,0.7832497
parameter_id,MGP_IMM_001_001
gene_accession_id,MGI:1338022
parameter_name,Total T cells - % of CD45+
mouse_life_stage,Early adult
