analysis_id,1qbgc7dkhy818y4
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_MLN_072_001
pvalue,0.9493599
gene_accession_id,MGI:1915033
parameter_name,KLRG1+ Treg cells - % of CD45+
gene_symbol,Ahctf1
