gene_symbol,Bmp7
gene_accession_id,MGI:103302
mouse_life_stage,Early adult
parameter_name,B cell number
analysis_id,x9s5e3904k2029z
parameter_id,MGP_PBI_034_001
pvalue,0.948654
mouse_strain,C57BL
