analysis_id,6z3oj6cbljdkzsd
parameter_name,CD4+ KLRG1+ alpha beta T cell percentage
gene_symbol,Bcs1l
mouse_life_stage,E12.5
parameter_id,MGP_PBI_012_001
gene_accession_id,MGI:1914071
mouse_strain,C57BL
pvalue,0.4745508
