gene_symbol,Atrn
pvalue,0.9899115
parameter_name,Click-evoked ABR threshold
mouse_strain,C57BL
gene_accession_id,MGI:1341628
parameter_id,IMPC_ABR_002_001
mouse_life_stage,Early adult
analysis_id,v147j29f89lmp25
