analysis_id,vdr7e0m62criwv6
mouse_life_stage,Early adult
pvalue,0.7221917
parameter_id,M-G-P_008_001_013
gene_symbol,Rab13
gene_accession_id,MGI:1927232
parameter_name,Startle Response
mouse_strain,C57BL
