analysis_id,bcy75527a7m63zg
gene_accession_id,MGI:2140475
parameter_name,KLRG1+ mature NK cell percentage
gene_symbol,AU040320
mouse_strain,C57BL
pvalue,0.2121737
parameter_id,MGP_PBI_011_001
mouse_life_stage,Late adult
